ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,foldChange,log10padj
WBGene00002632,433.7598502,0.480959024,0.238454126,4.053288015,0.044085399,0.13947582,1.395671123,0.855501078
WBGene00002637,7088.403784,0.095884796,0.0903242,1.12676905,0.288465557,0.473514483,1.068720647,0.324666733
WBGene00002694,4298.501537,0.184491953,0.100097308,3.394874831,0.065399327,0.181862466,1.136416712,0.740256923
WBGene00002696,3464.749137,-0.284431094,0.094176327,9.107582874,0.00254552,0.016442628,0.82106532,1.784028756
WBGene00002717,5284.499521,0.222068596,0.089687225,6.125379621,0.013325467,0.058945289,1.166404828,1.229550899
WBGene00002783,2692.992087,-0.032570871,0.103203427,0.099600271,0.752309852,0.853832076,0.977676532,0.068627534
WBGene00002804,2233.452534,0.062384759,0.079032596,0.623108411,0.429894521,0.605859529,1.04419037,0.217628057
WBGene00002827,105.698067,-0.205957126,0.559929739,0.135210338,0.713089794,0.824737795,0.866963327,0.083684103
WBGene00002845,11726.71519,-0.069782284,0.103543097,0.454160215,0.500365927,0.667589939,0.952781771,0.175490217
WBGene00002850,5452.781675,-0.09528876,0.128863535,0.546666914,0.459682798,0.632757705,0.936084868,0.198762558
WBGene00002855,3256.841442,0.168958105,0.082984851,4.143898263,0.041784838,0.134187427,1.124246276,0.872288175
WBGene00002879,2407.856798,-0.447416931,0.097192043,21.11795875,4.32E-06,7.32E-05,0.733354706,4.135779754
WBGene00002881,80.16262651,-0.735487786,0.462386863,2.509062158,0.113193277,0.260198385,0.600614918,0.584695403
WBGene00002889,4190.424584,0.084437651,0.102840516,0.673979189,0.411667711,0.590465727,1.060274376,0.228805306
WBGene00002891,4149.512349,-0.055367549,0.132360335,0.174971147,0.675731061,0.799585201,0.962349239,0.097135252
WBGene00002915,1314.605342,-1.667243262,0.32259484,25.3815313,4.70E-07,1.03E-05,0.314854401,4.987378866
WBGene00002957,3036.692029,0.065110136,0.080821314,0.648945047,0.420490106,0.597227117,1.046164801,0.223860481
WBGene00002974,48.64120455,-0.114512642,0.453847156,0.063647834,0.800820609,0.884435948,0.923694292,0.053333614
WBGene00002975,24.52056112,0.265145582,1.029708303,0.066226703,0.796912075,0.882083688,1.201757313,0.054490209
WBGene00002976,56.50002266,-0.815018724,0.440446585,3.391827526,0.06552029,0.182007188,0.56840111,0.73991146
WBGene00002977,221.6457184,-0.681900874,0.545196443,1.550614684,0.21304472,0.38962299,0.623343425,0.409355425
WBGene00002978,14367.21935,-0.651364592,0.172900537,14.0739012,0.000175766,0.00179794,0.636677819,2.745224718
WBGene00002979,520.3931247,0.03451527,0.182519214,0.035792613,0.849944409,0.914418281,1.024212641,0.0388551
WBGene00002980,9022.813559,0.946799143,0.176734892,28.20512373,1.09E-07,2.75E-06,1.927591232,5.560872598
WBGene00002981,2672.05335,0.534700396,0.100224816,28.32751401,1.02E-07,2.59E-06,1.448641284,5.586949342
WBGene00002982,527.8268476,0.249557991,0.135320031,3.401600103,0.065133208,0.181536619,1.188842825,0.741035757
WBGene00002983,63.23099573,2.686102317,0.857858668,8.775547263,0.003052955,0.019082477,6.435723377,1.719365251
WBGene00002985,4237.416467,0.125132736,0.085847673,2.124329585,0.144976203,0.306500953,1.09060807,0.51356817
WBGene00002986,970.5278923,0.403163371,0.096181463,17.53753435,2.82E-05,0.000379541,1.322404346,3.420741357
WBGene00002987,23.06568935,2.554244729,0.890315188,7.631142019,0.005736897,0.031334411,5.873598815,1.503978465
WBGene00002988,53.5625256,-0.30653918,0.335506267,0.833163171,0.361359457,0.543806686,0.808579101,0.264555457
WBGene00002989,103.334134,0.074670287,0.467014622,0.02555771,0.872985222,0.927790266,1.053120329,0.032550188
